time,position,velocity,acceleration
0.0,0.2501355460040724,0.0,0.0
0.020134228187919462,0.25013479743097466,-0.00011116133901898848,-0.010967418056454403
0.040268456375838924,0.2501296178280259,-0.0004386569347810988,-0.02149021105656629
0.060402684563758385,0.2501157411858582,-0.0009735955041434013,-0.031574428320829906
0.08053691275167785,0.25008907928806784,-0.001707207562362506,-0.041226119169739284
0.10067114093959731,0.2500457192589001,-0.002630845423093643,-0.05045133292378967
0.12080536912751677,0.24998192111093237,-0.003735983198391829,-0.0592561189034751
0.14093959731543623,0.24989411529275646,-0.00501421679871096,-0.06764652642928981
0.1610738255033557,0.24977890023666277,-0.006457263932904356,-0.07562860482172878
0.18120805369127516,0.24963303990632277,-0.008056964108224346,-0.0832084034012861
0.20134228187919462,0.2494534613444735,-0.009805278630322684,-0.09039197148845651
0.22147651006711408,0.2492372522205992,-0.01169429060325014,-0.09718535840373421
0.24161073825503354,0.24898165837861547,-0.01371620492945691,-0.10359461346761356
0.261744966442953,0.2486840813845527,-0.01586334830979226,-0.10962578600058956
0.28187919463087246,0.24834207607423855,-0.018128169243504785,-0.11528492532315604
0.30201342281879195,0.24795334810098144,-0.020503238028242096,-0.12057808075580786
0.3221476510067114,0.24751575148325475,-0.02298124676005124,-0.12551130161903942
0.3422818791946308,0.2470272861523784,-0.025555009333378453,-0.13009063723334496
0.3624161073825503,0.24648609550020306,-0.028217461441068972,-0.13432213691921915
0.3825503355704698,0.24589046392679392,-0.03096166057436754,-0.13821184999715638
0.40268456375838924,0.24523881438811249,-0.03378078602291794,-0.1417658257876512
0.42281879194630867,0.24452970594370077,-0.03666813887476322,-0.1449901136111978
0.44295302013422816,0.24376183130436502,-0.03961714201634568,-0.14789076278829105
0.46308724832214765,0.24293401437985723,-0.04262134013250679,-0.15047382263942513
0.4832214765100671,0.2420452078265601,-0.04567439970648719,-0.15274534248509453
0.5033557046979865,0.2410944905951697,-0.04877010901992686,-0.15471137164579382
0.523489932885906,0.24008106547837826,-0.05190237815286493,-0.15637795944201732
0.5436241610738255,0.23900425665855773,-0.05506523898373976,-0.15775115519425953
0.5637583892617449,0.23786350725544353,-0.05825284518938889,-0.158837008223015
0.5838926174496644,0.2366583768738169,-0.06145947224504916,-0.1596415678487781
0.6040268456375839,0.23538853915118851,-0.06467951742435649,-0.16017088339204322
0.6241610738255033,0.23405377930548218,-0.06790749979934618,-0.16043100417330503
0.6442953020134228,0.23265399168271717,-0.0711380602404526,-0.16042797951305784
0.6644295302013422,0.23118917730469216,-0.07436596141650946,-0.16016785873179604
0.6845637583892616,0.22965944141666828,-0.07758608779474965,-0.15965669115001427
0.7046979865771812,0.2280649910350521,-0.08079344564080516,-0.1589005260882068
0.7248322147651006,0.2264061324950794,-0.0839831630187074,-0.1579054128668682
0.7449664429530201,0.22468326899849791,-0.08715048979088688,-0.15667740080649306
0.7651006711409396,0.22289689816125063,-0.09029079761817332,-0.15522253922757565
0.785234899328859,0.22104760956115949,-0.09339957995979567,-0.15354687745061055
0.8053691275167785,0.2191360822856078,-0.09647245207338209,-0.15165646479609196
0.8255033557046979,0.21716308247922422,-0.09950515101496003,-0.14955735058451455
0.8456375838926173,0.21512946089156587,-0.10249353563895605,-0.1472555841363728
0.8657718120805369,0.21303615042480134,-0.10543358659819609,-0.1447572147721613
0.8859060402684563,0.2108841636813934,-0.10832140634390501,-0.14206829181237407
0.9060402684563758,0.20867459051178394,-0.1111532191257072,-0.13919486457750607
0.9261744966442953,0.20640859556207533,-0.11392537099162615,-0.1361429823880514
0.9463087248322147,0.2040874158217144,-0.11663432978808448,-0.1329186945645046
0.9664429530201342,0.20171235817117647,-0.11927668515990422,-0.12952805042736024
0.9865771812080536,0.19928479692964698,-0.12184914855030637,-0.1259770992971127
1.006711409395973,0.196806171402706,-0.12434855320091136,-0.12227189049425644
1.0268456375838926,0.19427798343001107,-0.12677185415173875,-0.11841847333928592
1.046979865771812,0.19170179493298034,-0.1291161282412073,-0.11442289715269564
1.0671140939597314,0.1890792254624758,-0.13137857410613507,-0.11029121125498
1.087248322147651,0.18641194974648673,-0.1335565121817392,-0.10602946496663351
1.1073825503355703,0.18370169523781282,-0.13564738470163615,-0.10164370760815065
1.1275167785234899,0.18095023966174734,-0.13764875569784163,-0.09713998850002571
1.1476510067114094,0.1781594085637603,-0.13955831100077043,-0.09252435696275337
1.1677852348993287,0.1753310728571821,-0.14137385823923668,-0.08780286231682803
1.1879194630872483,0.17246714637088637,-0.14309332684045373,-0.08298155388274403
1.2080536912751678,0.16956958339697314,-0.14471476803003402,-0.07806648098099586
1.2281879194630871,0.16664037623845257,-0.1462363548319893,-0.07306369293207814
1.2483221476510067,0.16368155275692764,-0.14765638206873058,-0.06797923905648515
1.268456375838926,0.16069517392027782,-0.14897326636106806,-0.06281916867471155
1.2885906040268456,0.15768333135034196,-0.150185546128211,-0.05758953110725151
1.308724832214765,0.15464814487060174,-0.15129188158776816,-0.052296375674599715
1.3288590604026844,0.1515917600538649,-0.15229105475574728,-0.0469457516972506
1.348993288590604,0.1485163457699483,-0.15318196944655543,-0.041543708495698495
1.3691275167785233,0.1454240917333614,-0.15396365127299882,-0.036096295390438043
1.3892617449664428,0.14231720605098935,-0.154635247646283,-0.03060956170196355
1.4093959731543624,0.13919791276977617,-0.15519602777601268,-0.025089556750769487
1.4295302013422817,0.13606844942440827,-0.15564538267019173,-0.019542329857350438
1.4496644295302012,0.13293106458499732,-0.15598282513522324,-0.013973930342200763
1.4697986577181208,0.12978801540476365,-0.1562079897759096,-0.00839040752581488
